200 400 600 800 1000 1200 1400 1600 1800 2000 2200 2400 2600 2800 3000 3200 3400 3600 3800 4000 4200 4400 4600 4800 5000 5200 5400 5600 5800 6000 6200 6400 6600 6800 7000 7200 7400 7600 7800 8000 8200 8400 8600 8800 9000 9200 9400 9600 9800 10000
(1.5634807307217184+0.1775032953547805j) (3.1274628585294595+0.35518355644510274j) (4.6924493340775815+0.5332187362495316j) (6.258946231111157+0.7117887784552184j) (7.827464348215446+0.891076653889664j) (9.398520859711372+1.0712694477312654j) (10.972641033605969+1.2525595169773331j) (12.55036003586517+1.4351457399946754j) (14.132224842040058+1.6192348831220527j) (15.718796279487563+1.8050431133945508j) (17.310651226135782+1.992797691733653j) (18.908384995024914+2.182738887677006j) (20.512613937755688+2.3751221652852315j) (22.12397830461039+2.570220700748362j) (23.74314540452133+2.7683283060808583j) (25.370813114342106+2.9697628509921987j) (27.007713794078892+3.174870297697404j) (28.65461867284142+3.3840294926098764j) (30.312342779234033+3.597657896588105j) (31.981750499400036+3.816218484358852j) (33.66376185552505+4.040228107831092j) (35.359359606208116+4.270267701967643j) (37.06959727590372+4.506994822892454j) (38.795608221265546+4.7511591568867555j) (40.53861582790828+5.0036218269271115j) (42.29994490955926+5.265379612589857j) (44.0810343017888+5.537595519063173j) (45.88345053352496+5.821637651810301j) (47.70890222999062+6.1191289959010335j) (49.55925451803092+6.432011611813976j) (51.43654204478778+6.762630001836187j) (53.34297810230825+7.113840105366999j) (55.280955463089775+7.489152707884504j) (57.253031349671446+7.892923192309104j) (59.261883593335924+8.330603724171537j) (61.3102159638254+8.809079259018647j) (63.400575287272744+9.337114975809746j) (65.5350169317472+9.92594871927728j) (67.71451120979935+10.590064253132011j) (69.9379093611381+11.348170400460848j) (72.20016602673823+12.224365228401311j) (74.48932204144818+13.249331514706718j) (76.7814706461069+14.461072910160617j) (79.0326091236938+15.903904212192149j) (81.16624114743772+17.622635798528197j) (83.05717025314446+19.64531794112777j) (84.51945088181218+21.942630587948283j) (85.32915706926381+24.35400330465969j) (85.34373272762696+26.518009433464112j) (84.71119654334977+27.956863350607637j)
(1.5718546278042225+0.17845414035806564j) (3.144217086548671+0.3570875175281811j) (4.717596784632341+0.5360803707467713j) (6.292506301568957+0.7156149605683331j) (7.869463014359552+0.8958766212252885j) (9.448990773755826+1.0770548645313651j) (11.03162164858748+1.2593445550920126j) (12.617897757703822+1.4429471789564001j) (14.208373210860321+1.6280722310252722j) (15.803616182117654+1.8149387506702417j) (17.404211142058312+2.003777040348389j) (19.01076127843922+2.194830608788083j) (20.623891138847085+2.3883583889615982j) (22.24424953359542+2.584637292035995j) (23.872512742571956+2.783965172465337j) (25.509388076089124+2.98666429720565j) (27.15561784706152+3.1930854348563855j) (28.81198382003062+3.403612709862155j) (30.479312211602497+3.618669404800782j) (32.15847932651063+3.8387249429612265j) (33.85041792323342+4.064303347591671j) (35.556124411906566+4.295993558398428j) (37.27666699342062+4.534462096974411j) (39.01319484903958+4.780468720268739j) (40.7669484795017+5.034885897967949j) (42.53927126283296+5.298723213755135j) (44.331622236798594+5.573158146805727j) (46.145589991576365+5.859575173297867j) (47.982907341968065+6.1596157863620205j) (49.845466071788195+6.475242933488584j) (51.73533039872099+6.808824604378702j) (53.65474671648055+7.163242992653286j) (55.606145331349744+7.542037962008113j) (57.59212681343752+7.949596666754338j) (59.61542036701399+8.391405314217891j) (61.67879282275276+8.874384345100056j) (63.784871973541414+9.40733458125183j) (65.93582279088308+10.001528122345759j) (68.13277250447557+10.671480755991812j) (70.37480909532964+11.435933950281758j) (72.65725973337825+12.319033606250652j) (74.96876722662897+13.351571764647668j) (77.28640337520893+14.571847655837933j) (79.56771947621672+16.024965964060144j) (81.738505146469+17.75772345689847j) (83.67627048719697+19.80278338180872j) (85.19608298747033+22.14030220951407j) (86.06683028257385+24.624843146418808j) (86.1208307961466+26.906558177462202j) (85.46921069611662+28.492252133124065j)
(1.5801707394818403+0.17939842062084793j) (3.160855669126375+0.35897831062629426j) (4.7425704520878496+0.5389221419020174j) (6.325834071642774+0.7194144492588784j) (7.911170353801836+0.9006428835887516j) (9.499109693831976+1.0827993349648013j) (11.090190826265326+1.2660811251136141j) (12.684962683763846+1.4506922946363292j) (14.283986366460038+1.6368450106196801j) (15.887837245652491+1.8247611244625952j) (17.497107228499253+2.0146739151167106j) (19.112407213699832+2.206830059791861j) (20.734369772139196+2.4014918828854364j) (22.363652091187063+2.598939944951897j) (24.000939226863043+2.7994760475921976j) (25.646947714482533+3.003426748072148j) (27.302429595735934+3.211147500417422j) (28.968176928429234+3.4230275691964516j) (30.645026854257292+3.6394959002335847j) (32.333867309738764+3.861028181804946j) (34.035643475312604+4.08815539416813j) (35.751365066605835+4.321474229553964j) (37.48211457831314+4.561659875831525j) (39.22905659199538+4.809481804327904j) (40.9934482493933+5.065823398616959j) (42.776650964175396+5.3317065243173944j) (44.58014338351006+5.608322494786561j) (46.405535493509994+5.897071368370958j) (48.254583551481275+6.1996121672240445j) (50.129205160191994+6.517927501507537j) (52.03149317067715+6.854407306362509j) (53.96372603620735+7.21195807410237j) (55.928370448989085+7.594146249629132j) (57.928069080868745+8.00538754842659j) (59.96560118714325+8.451198063675035j) (62.04379530484774+8.938528300911232j) (64.16535888205236+9.47620759519755j) (66.3325653468657+10.075532822424188j) (68.5466980538744+10.751039005571648j) (70.8070815919365+11.521482624392348j) (73.10941676052333+12.411032304080901j) (75.44295201983276+13.450551913490965j) (77.78574789911444+14.678577180199575j) (80.09693869001721+16.140904212620264j) (82.3046862872679+17.88614870731801j) (84.28946265927209+19.951324393936765j) (85.8680362565029+22.325801421011302j) (86.80353534570817+24.879629775539858j) (86.90451573615672+27.276880457963003j) (86.24343413596114+29.01273977159834j)
(1.5884281629904498+0.18033603363288866j) (3.1773766933047716+0.36085571763059354j) (4.767367459521004+0.541743719901242j) (6.358925691398594+0.7231867997870214j) (7.952581531431646+0.9053748769534977j) (9.548871784276292+1.088502170157164j) (11.14834171171845+1.2727684064823395j) (12.751546917690202+1.4583801265785739j) (14.359055345229038+1.6455521118526286j) (15.97144940955585+1.8345089637892087j) (17.58932829423745+2.0254868709915312j) (19.21331044077416+2.218735606438936j) (20.844036265974832+2.4145208062266716j) (22.482171146235345+2.6131265921855156j) (24.128408713408827+2.814858614919986j) (25.78347451340344+3.020047611830793j) (27.448130086050483+3.2290535977207044j) (29.123177533133003+3.4422708351561986j) (30.809464650691144+3.6601337698904906j) (32.50789071159277+3.8831241660561306j) (34.21941299436689+4.1117797401965435j) (35.94505416349959+4.346704677475625j) (37.68591061310479+4.5885825243832725j) (39.443161887162844+4.838192099215961j) (41.218081280485976+5.09642725733483j) (43.01204769696338+5.364321610325922j) (44.82655878194379+5.6430796511423535j) (46.66324523133622+5.934116215005505j) (48.52388597420293+6.239106855278796j) (50.41042356708901+6.5600525997253305j) (52.324978525634364+6.899363764587015j) (54.26986028323602+7.259969162054579j) (56.24757072492703+7.64545929837695j) (58.26079332185663+8.060275219916718j) (60.31235598470157+8.509958736348167j) (62.40514750194348+9.001484997106623j) (64.54195352189072+9.543704742499777j) (66.72515456774877+10.147930204412795j) (68.95618899106282+10.828702969396774j) (71.23461731079954+11.604777103403368j) (73.55651413139897+12.50031918906563j) (75.91173561192085+13.546228026944362j) (78.27933813265426+14.781217525338823j) (80.62006190559477+16.25167749796462j) (82.86451480031094+18.0078741028521j) (84.89636008706607+20.0908981013745j) (86.53471410623706+22.499020267487186j) (87.53837464158404+25.117982908618913j) (87.693742224379+27.627939781438272j) (87.03325632993781+29.516484471139943j)
(1.5966259477696219+0.1812668713295286j) (3.1937783085255527+0.3627195275577088j) (4.79198502393783+0.544544785735404j) (6.391777436759627+0.7269315820394664j) (7.993691870460354+0.9100720559330795j) (9.598271400889104+1.0941627041332838j) (11.20606767545643+1.2794056060981946j) (12.817642823503586+1.4660097467104884j) (14.433571480017452+1.6541924624070028j) (16.054442947147248+1.8441810412577793j) (17.6808635207943+2.0362145129547358j) (19.313459012947327+2.2305456716230485j) (20.952877504487674+2.427443383191862j) (22.599792367983117+2.627195240254056j) (24.2549056055966+2.830110641560953j) (25.918951553738612+3.0365243913943987j) (27.592701013549934+3.246800937180601j) (29.276965874716886+3.461339393356084j) (30.9726043094299+3.6805795377047983j) (32.68052662326258+3.9050090158339468j) (34.40170185989781+4.13517205381885j) (36.137165266011685+4.371680063242008j) (37.88802672961213+4.6152246336109375j) (39.6554803068285+4.8665935536717875j) (41.44081494378513+5.126690698059348j) (43.24542647370477+5.3965608765043065j) (45.07083091152+5.677421093567806j) (46.918678957192405+5.970700141045018j) (48.790771418518815+6.278089089129352j) (50.68907491508933+6.601606120200519j) (52.61573662868227+6.943680348508664j) (54.5730958581506+7.3072609086770255j) (56.56368844538072+7.695959831605534j) (58.5902373044369+8.114240252000325j) (60.65561753501488+8.567665523477503j) (62.76277662511328+9.063230031256959j) (64.91457682879364+9.60979885247098j) (67.11350419285034+10.218690237190028j) (69.3611506084996+10.904439813291251j) (71.65731131066586+11.68578206049425j) (73.99843397723298+12.586857162701873j) (76.37498291214301+13.638562599738489j) (78.76701448739449+14.879733094102896j) (81.1368918412447+16.357255572097234j) (83.4177300775047+18.122878075499877j) (85.49658716090988+20.221486339614998j) (87.1955297590352+22.659893723106805j) (88.27043981034865+25.33959589355437j) (88.48739125474091+27.95878776354604j) (87.83792455678629+30.001682090969794j)
(1.604763200281028+0.18219083216955587j) (3.2100587249885204+0.3645695363633603j) (4.816420453810993+0.5473250309207434j) (6.424385706222406+0.7306483801562039j) (8.034496848314388+0.9147338933145932j) (9.647303086005426+1.0997802932566558j) (11.263362307667187+1.2859919576669352j) (12.883243019024727+1.4735802585953461j) (14.507526392737132+1.662765026861763j) (16.136808457380795+1.8537761721361135j) (17.771702453394163+2.04685549499835j) (19.412841386966633+2.242258734277468j) (21.060880816938436+2.4402579018403348j) (22.716501914599977+2.6411439682469307j) (24.380414841929174+2.8452299769637155j) (26.05336250034772+3.052854682984841j) (27.736124709584626+3.2643868348924134j) (29.429522884715826+3.480230249089711j) (31.134425288817596+3.7008298631831726j) (32.85175294874932+3.926679004944705j) (34.58248633183366+4.158328177591144j) (36.32767289078322+4.39639574616075j) (38.088435591462826+4.641581020211915j) (39.86598254020094+4.894680374028574j) (41.6616178196736+5.156607239480336j) (43.47675361701696+5.428417065876988j) (45.31292367186581+5.7113386893875235j) (47.171797964127364+6.006814024824841j) (49.05519836646481+6.3165486304794625j) (50.96511464686789+6.642576565272436j) (52.90371962694215+6.987344143221954j) (54.87338132323581+7.353818809932861j) (56.87666825808131+7.745631573399313j) (58.91634138088519+8.167264409623014j) (60.99532144644217+8.624298050476472j) (63.11661299694292+9.123740734856428j) (65.28315316244998+9.674464865211805j) (67.49753173717649+10.287785477594813j) (69.76149237268426+10.978219900000488j) (72.07506328068528+11.764466150485301j) (74.43506359399937+12.670614132877246j) (76.83256464536022+13.727524498672047j) (79.2486240363711+14.97409654525466j) (81.64723907512162+16.457619203506958j) (83.96408118505322+18.231154581977098j) (86.08978040062532+20.343095015920543j) (87.84990876360577+22.808398842830012j) (88.99881729046268+25.544236542496225j) (89.28427636164889+28.268571300146068j) (88.65654416823662+30.466577325238106j)
(1.6128390564998856+0.18310781796734146j) (3.2262162120511646+0.36640554676055975j) (4.840671146678134+0.5500841572258681j) (6.4567470176527575+0.7343367921660366j) (8.074992092628575+0.919359879602022j) (9.69596156368327+1.1053543156807635j) (11.320219412599235+1.2925267210590066j) (12.948340369449042+1.4810907966985576j) (14.580911987127443+1.6712688058657275j) (16.21853685680224+1.8632932134339069j) (17.861834992111365+2.0574085191155422j) (19.511446413381236+2.253873328276339j) (21.168033967246917+2.45296271290014j) (22.83228642191215+2.6549709265591814j) (24.50492188395865+2.8602145515710715j) (26.186691589207502+3.0690361747221653j) (27.878384127679755+3.281808711164031j) (29.580830171229714+3.4989405258177824j) (31.29490778187821+3.720881539867328j) (33.0215483890095+3.948130559339862j) (34.76174353398714+4.181244126963054j) (36.51655249048146+4.420847282304301j) (38.287110876302215+4.667646725230705j) (40.07464037507811+4.922447022986702j) (41.88045967910068+5.186170694012388j) (43.70599674043332+5.459883259004273j) (45.552802363333655+5.744824695125857j) (47.422565066454396+6.042449195151734j) (49.317126954063625+6.354475764605155j) (51.23850000566123+6.682953048596222j) (53.188881630448265+7.03034295110801j) (55.170667384014834+7.399629207859567j) (57.18645715481505+7.794459251416149j) (59.23904847173465+8.219330655118227j) (61.33140614650967+8.679837380130657j) (63.46659004069798+9.182996175765377j) (65.64761030005715+9.737679832054724j) (67.87715849143832+10.355191066806704j) (70.15712793392662+11.050016778200938j) (72.48777756523346+11.84080198621935j) (74.86629549103056+12.751562969265803j) (77.28435743917127+13.813088883572812j) (79.72402066542125+15.064288656968422j) (82.15092230969825+16.55275994400528j) (84.50332734891583+18.332712688303094j) (86.67558946376386+20.45575336711771j) (88.49729144615512+22.944553686048017j) (89.72259398858222+25.731747455220138j) (90.08315061325122+28.556539466259398j) (89.48807910178162+30.909475188296188j)
(1.6208526811349415+0.18401773380419695j) (3.2422490966684405+0.3682273680424301j) (4.864734586800533+0.552821876405411j) (6.488858005162227+0.7379964296307583j) (8.115173377337955+0.9239495225705868j) (9.744241735009386+1.1108841708127772j) (11.376633003078787+1.2990091816816973j) (13.012927981073098+1.4885405256683706j) (14.653720441689327+1.679702835325921j) (16.299619371687662+1.8727310629989007j) (17.951251383212885+2.0678723343051204j) (19.609263327085486+2.2653880413494747j) (21.27432514373838+2.465556228593514j) (22.94713299235119+2.6686743356313314j) (24.628412704439445+2.8750623754774693j) (26.31892361477717+3.085066645206981j) (28.019462830115298+3.2990640890305407j) (29.730870004733738+3.517467463625029j) (31.45403270136664+3.740731493746997j) (33.189892426264926+3.9693602555025356j) (34.93945143764848+4.203916088660149j) (36.70378043670563+4.44503042291198j) (38.48402725804969+4.693417012512933j) (40.28142667949546+4.94988821815647j) (42.097311464687046+5.21537516646672j) (43.933124729019575+5.490952872831039j) (45.79043366721917+5.777871755579891j) (47.670944579666006+6.077597430651478j) (49.576518951052634+6.391861300015901j) (51.50919001495848+6.7227252951407666j) (53.471178691975155+7.07266529216214j) (55.46490686944034+7.4446792911623705j) (57.493004452283024+7.84242859758242j) (59.55830404770018+8.27042314868245j) (61.66381286546875+8.734266012294263j) (63.812644266337045+9.240977156175033j) (66.0078794260364+9.799422910255375j) (68.25230951742896+10.42088471932733j) (70.54797513048719+11.1198071619456j) (72.89536318185193+11.914766102536426j) (75.2920274311197+12.829681442530735j) (77.73024390027147+13.895237106861508j) (80.1930652104111+15.15029816186448j) (82.64776861617834+16.64267985377109j) (85.03523840906375+18.42757609799082j) (87.25367809726202+20.559513118286016j) (89.13713527130996+23.068416013218375j) (90.44086303940072+25.90204579360641j) (90.8827144691406+28.82205004728449j) (90.33135273513628+31.328753060155883j)
(1.628803266868255+0.18492048794210708j) (3.258155761871846+0.3700348159092416j) (4.888608342880214+0.5555379099402338j) (6.520715416061359+0.7416269172979196j) (8.15503661886538+0.9285023468312493j) (9.792138673518071+1.116369278788816j) (11.432597295157564+1.3054386498649657j) (13.076999195168156+1.4959286396304237j) (14.725944202779937+1.6880661856108434j) (16.380047530357036+1.8820886586278105j) (18.039942210686593+2.078245735590127j) (19.7062817380611+2.276801514007456j) (21.37974294909468+2.478036921470619j) (23.06102918411484+2.682252484692798j) (24.750873775699286+2.889771537085737j) (26.450043917576053+3.100943962093109j) (28.15934497471874+3.3161505927499166j) (29.879625304086215+3.535808417645952j) (31.61178166500382+3.7603767816255633j) (33.35676530847619+3.990364818765044j) (35.115588845311734+4.226340418968347j) (36.889334002989315+4.468941112661677j) (38.67916038920187+4.718887366986227j) (40.486315383365316+4.976998930372859j) (42.31214527173204+5.244215052427465j) (44.158107719810246+5.521619659151832j) (46.025785625682104+5.810472902400836j) (47.916902299911904+6.1122509584841485j) (49.83333774001419+6.428696567310889j) (51.77714545738809+6.761883640165612j) (53.750568785827625+7.114300403025341j) (55.7560547107714+7.488957094154605j) (57.79626177130028+7.889526346684553j) (59.87405610954066+8.32052724618076j) (61.992485617304645+8.78756788016713j) (64.15471525340747+9.297666206206783j) (66.36389511794764+9.859675352098305j) (68.62291363874571+10.484846704794496j) (70.93395598701882+11.187570900902367j) (73.29773383219354+11.98633890833866j) (75.71216246186361+12.904952148038854j) (78.17011267954007+13.97395659274569j) (80.65562557928176+15.23212155480742j) (83.13761365699843+16.727391189202308j) (85.55959523823697+18.51578262117665j) (87.8237250243184+20.654447546954266j) (89.76891709080265+23.180081759975707j) (91.1527296026804+26.05512247099187j) (91.6816245800673+29.064575560439412j) (91.1850492828176+31.722873534168695j)
(1.6366900336140524+0.18581599173953456j) (3.2739346452864155+0.371827712299945j) (4.912290065833791+0.5582319887840936j) (6.552316107888428+0.745227892761909j) (8.194577872402329+0.9330178934053027j) (9.839647620721781+1.1218090799613232j) (11.488106702888004+1.311814460259608j) (13.140547581995822+1.503254361496349j) (14.797575977865957+1.696357960767619j) (16.459813155659006+1.891364977191442j) (18.127898387953696+2.088527563049081j) (19.802491622311308+2.2881124384796703j) (21.4842763905075+2.490403323253109j) (23.173963000533245+2.695703730511843j) (24.87229205821527+2.904340201763448j) (26.580038371970662+3.116666080654119j) (28.298015301858804+3.333065946280252j) (30.02707962273289+3.553960856459344j) (31.768136980891757+3.7798145894380326j) (33.522148033974986+4.011141121558409j) (35.29013537453398+4.24851364192604j) (37.073191347894664+4.492575487814633j) (38.872486883179356+4.744053492770523j) (40.689281460096545+5.003774381786623j) (42.524934329140066+5.272685036337576j) (44.380917082064755+5.551877702702407j) (46.25882762137399+5.842621552195192j) (48.16040548305485+6.146402452449178j) (50.08754829491494+6.464973417254588j) (52.042328852824+6.800419027201864j) (54.02701178561221+7.155238234745385j) (56.044067919144275+7.532451494087833j) (58.09618301435732+7.9357402329145135j) (60.18625516588386+8.369629494337195j) (62.317371178236186+8.839728343260008j) (64.49274563084857+9.353047573290047j) (66.71559532861478+9.918420488623333j) (68.98890342688885+10.547059822923238j) (71.31499670732522+11.2532909417767j) (73.69480790587558+12.055504627339742j) (76.12660893801733+12.977362414912658j) (78.60385852535036+14.04924069725089j) (81.11157685792689+15.309762875165742j) (83.6203018845411+16.80691605568995j) (86.07619012197537+18.59738359640849j) (88.38542475836324+20.740650458959472j) (90.39213525675515+23.27968329710352j) (91.8573166313278+26.191040727594388j) (92.47850357437922+29.283708581867728j) (92.04771604715741+32.090398259456634j)
