200 400 600 800 1000 1200 1400 1600 1800 2000 2200 2400 2600 2800 3000 3200 3400 3600 3800 4000 4200 4400 4600 4800 5000 5200 5400 5600 5800 6000 6200 6400 6600 6800 7000 7200 7400 7600 7800 8000 8200 8400 8600 8800 9000 9200 9400 9600 9800 10000
(1.5634807307217184+0.1775032953547805j) (3.1274628585294595+0.35518355644510274j) (4.6924493340775815+0.5332187362495316j) (6.258946231111157+0.7117887784552184j) (7.827464348215446+0.891076653889664j) (9.398520859711372+1.0712694477312654j) (10.972641033605969+1.2525595169773331j) (12.55036003586517+1.4351457399946754j) (14.132224842040058+1.6192348831220527j) (15.718796279487563+1.8050431133945508j) (17.310651226135782+1.992797691733653j) (18.908384995024914+2.182738887677006j) (20.512613937755688+2.3751221652852315j) (22.12397830461039+2.570220700748362j) (23.74314540452133+2.7683283060808583j) (25.370813114342106+2.9697628509921987j) (27.007713794078892+3.174870297697404j) (28.65461867284142+3.3840294926098764j) (30.312342779234033+3.597657896588105j) (31.981750499400036+3.816218484358852j) (33.66376185552505+4.040228107831092j) (35.359359606208116+4.270267701967643j) (37.06959727590372+4.506994822892454j) (38.795608221265546+4.7511591568867555j) (40.53861582790828+5.0036218269271115j) (42.29994490955926+5.265379612589857j) (44.0810343017888+5.537595519063173j) (45.88345053352496+5.821637651810301j) (47.70890222999062+6.1191289959010335j) (49.55925451803092+6.432011611813976j) (51.43654204478778+6.762630001836187j) (53.34297810230825+7.113840105366999j) (55.280955463089775+7.489152707884504j) (57.253031349671446+7.892923192309104j) (59.261883593335924+8.330603724171537j) (61.3102159638254+8.809079259018647j) (63.400575287272744+9.337114975809746j) (65.5350169317472+9.92594871927728j) (67.71451120979935+10.590064253132011j) (69.9379093611381+11.348170400460848j) (72.20016602673823+12.224365228401311j) (74.48932204144818+13.249331514706718j) (76.7814706461069+14.461072910160617j) (79.0326091236938+15.903904212192149j) (81.16624114743772+17.622635798528197j) (83.05717025314446+19.64531794112777j) (84.51945088181218+21.942630587948283j) (85.32915706926381+24.35400330465969j) (85.34373272762696+26.518009433464112j) (84.71119654334977+27.956863350607637j)
(1.563480730722169+0.17750329535483989j) (3.127462858530377+0.3551835564452194j) (4.692449334079052+0.5332187362497276j) (6.258946231113198+0.7117887784555215j) (7.827464348218232+0.8910766538900942j) (9.398520859714997+1.0712694477319848j) (10.972641033610683+1.2525595169783452j) (12.550360035871254+1.4351457399961771j) (14.132224842047924+1.619234883124269j) (15.718796279497575+1.8050431133978682j) (17.310651226148988+1.9927976917383994j) (18.908384995041878+2.1827388876841174j) (20.51261393777798+2.3751221652958154j) (22.123978304639746+2.5702207007642377j) (23.743145404560224+2.768328306104855j) (25.370813114394075+2.969762851028564j) (27.007713794147953+3.1748702977529435j) (28.654618672934184+3.3840294926970125j) (30.312342779357923+3.5976578967204214j) (31.981750499565507+3.8162184845658405j) (33.6637618557479+4.040228108161748j) (35.35935960649754+4.270267702491311j) (37.069597276274315+4.506994823739539j) (38.795608221265624+4.751159156886614j) (40.538615827908316+5.00362182692702j) (42.29994490955912+5.265379612589927j) (44.08103430178882+5.53759551906334j) (45.883450533525064+5.821637651810288j) (47.70890222999076+6.1191289959011765j) (49.55925451803102+6.432011611813776j) (51.43654204478788+6.7626300018360554j) (53.34297810230819+7.113840105367091j) (55.28095546309009+7.489152707885052j) (57.25303134967266+7.892923192310794j) (59.26188359333623+8.330603724177177j) (61.310215963820944+8.809079259035366j) (63.40057528723529+9.337114975850946j) (65.53501693156986+9.925948719339832j) (67.7145112091575+10.590064252985798j) (69.93790936113824+11.348170400461184j) (72.20016602673806+12.224365228401394j) (74.48932204144782+13.249331514706633j) (76.7814706461069+14.461072910160617j) (79.03260912369689+15.903904212190323j) (81.16624114741995+17.622635798540692j) (83.05717025320918+19.64531794110836j) (84.51945088176211+21.942630587920448j) (85.32915706926765+24.35400330466407j) (85.3437327276275+26.51800943346417j) (84.71119654334942+27.956863350607772j)
(1.5634807307221688+0.17750329535483841j) (3.1274628585303796+0.3551835564452163j) (4.692449334079057+0.5332187362497126j) (6.258946231113202+0.7117887784555135j) (7.827464348218214+0.8910766538901039j) (9.398520859715013+1.0712694477319629j) (10.97264103361071+1.2525595169783459j) (12.550360035871236+1.4351457399961642j) (14.132224842047917+1.6192348831242485j) (15.718796279497548+1.8050431133978464j) (17.310651226148885+1.9927976917384393j) (18.908384995041885+2.1827388876841174j) (20.512613937777964+2.375122165295892j) (22.12397830463984+2.5702207007641933j) (23.743145404560273+2.7683283061049093j) (25.370813114394142+2.9697628510285448j) (27.007713794148003+3.174870297752949j) (28.654618672934298+3.3840294926969796j) (30.312342779358005+3.597657896720392j) (31.981750499565532+3.8162184845659213j) (33.663761855747985+4.040228108161806j) (35.35935960649754+4.27026770249136j) (37.06959727627424+4.506994823739407j) (38.79560822126561+4.751159156886732j) (40.5386158279085+5.003621826927085j) (42.299944909558896+5.265379612589976j) (44.08103430178892+5.537595519063229j) (45.883450533525064+5.821637651810245j) (47.70890222999082+6.119128995901253j) (49.559254518031096+6.432011611813865j) (51.436542044788006+6.762630001836088j) (53.34297810230838+7.1138401053669424j) (55.2809554630902+7.489152707885197j) (57.25303134967224+7.892923192310774j) (59.26188359333661+8.330603724177179j) (61.31021596382075+8.809079259035151j) (63.400575287235526+9.337114975851373j) (65.5350169315693+9.92594871933935j) (67.7145112091574+10.590064252985705j) (69.93790936113825+11.348170400460639j) (72.20016602673776+12.224365228400696j) (74.48932204144837+13.249331514707048j) (76.78147064610883+14.461072910163075j) (79.03260912369711+15.903904212190662j) (81.16624114742018+17.622635798540113j) (83.057170253209+19.645317941108583j) (84.51945088176242+21.94263058792018j) (85.32915706926805+24.354003304664115j) (85.34373272762683+26.518009433464396j) (84.7111965433496+27.95686335060805j)
(1.5634807307221685+0.17750329535483766j) (3.1274628585303863+0.3551835564452151j) (4.692449334079049+0.5332187362497297j) (6.258946231113199+0.7117887784555194j) (7.827464348218237+0.8910766538900996j) (9.398520859714985+1.0712694477319793j) (10.972641033610726+1.252559516978358j) (12.550360035871226+1.4351457399961862j) (14.132224842047957+1.619234883124257j) (15.718796279497528+1.8050431133978557j) (17.31065122614898+1.9927976917384151j) (18.908384995041924+2.182738887684115j) (20.512613937777964+2.3751221652958767j) (22.123978304639817+2.57022070076418j) (23.74314540456031+2.768328306104846j) (25.370813114394036+2.9697628510286225j) (27.007713794147985+3.1748702977529177j) (28.65461867293413+3.384029492697006j) (30.312342779357923+3.5976578967204493j) (31.98175049956552+3.8162184845658484j) (33.66376185574799+4.040228108161736j) (35.359359606497456+4.2702677024914095j) (37.06959727627416+4.5069948237394115j) (38.79560822126562+4.751159156886742j) (40.538615827908366+5.0036218269269845j) (42.29994490955885+5.265379612589938j) (44.081034301788655+5.537595519063548j) (45.88345053352502+5.821637651810141j) (47.70890222999077+6.119128995901319j) (49.55925451803124+6.432011611813836j) (51.43654204478811+6.762630001836226j) (53.34297810230828+7.113840105367044j) (55.28095546309038+7.489152707885193j) (57.2530313496725+7.892923192310601j) (59.26188359333629+8.330603724177232j) (61.31021596382083+8.809079259035274j) (63.40057528723544+9.337114975850916j) (65.5350169315691+9.925948719338855j) (67.71451120915738+10.5900642529855j) (69.93790936113845+11.34817040046061j) (72.20016602673789+12.224365228401041j) (74.48932204144783+13.249331514706393j) (76.78147064610809+14.461072910163047j) (79.032609123697+15.903904212190623j) (81.16624114741977+17.622635798539974j) (83.0571702532094+19.645317941108395j) (84.51945088176207+21.942630587920036j) (85.32915706926815+24.354003304663863j) (85.3437327276269+26.518009433464304j) (84.71119654334962+27.95686335060744j)
(1.5634807307221703+0.17750329535483944j) (3.1274628585303836+0.3551835564452243j) (4.692449334079051+0.5332187362497247j) (6.258946231113192+0.711788778455528j) (7.827464348218219+0.8910766538900865j) (9.398520859714985+1.0712694477319833j) (10.97264103361071+1.2525595169783337j) (12.550360035871302+1.4351457399961716j) (14.13222484204798+1.619234883124281j) (15.718796279497571+1.805043113397818j) (17.310651226148885+1.9927976917384105j) (18.90838499504189+2.182738887684137j) (20.512613937778003+2.3751221652958594j) (22.123978304639774+2.570220700764239j) (23.743145404560284+2.7683283061048316j) (25.370813114394053+2.9697628510286282j) (27.00771379414799+3.1748702977529395j) (28.65461867293426+3.3840294926969086j) (30.312342779357902+3.5976578967204484j) (31.98175049956548+3.8162184845658005j) (33.663761855747836+4.040228108161834j) (35.359359606497435+4.270267702491361j) (37.069597276274045+4.506994823739397j) (38.79560822126566+4.75115915688668j) (40.53861582790826+5.003621826927056j) (42.29994490955921+5.265379612589961j) (44.08103430178872+5.537595519063309j) (45.88345053352498+5.8216376518103j) (47.70890222999068+6.119128995901226j) (49.55925451803102+6.43201161181389j) (51.43654204478801+6.762630001836281j) (53.34297810230842+7.113840105367224j) (55.280955463090464+7.48915270788537j) (57.25303134967265+7.892923192310844j) (59.26188359333661+8.330603724177251j) (61.31021596382123+8.809079259035425j) (63.400575287235384+9.337114975850715j) (65.53501693156888+9.925948719339516j) (67.71451120915685+10.590064252985366j) (69.93790936113872+11.348170400461044j) (72.20016602673815+12.224365228401117j) (74.4893220414479+13.249331514706117j) (76.78147064610805+14.461072910162496j) (79.03260912369672+15.903904212190557j) (81.1662411474202+17.622635798540053j) (83.0571702532094+19.64531794110895j) (84.5194508817623+21.942630587920558j) (85.32915706926833+24.354003304663888j) (85.34373272762707+26.51800943346425j) (84.7111965433494+27.956863350607616j)
(1.5634807307221663+0.17750329535483697j) (3.127462858530374+0.3551835564452259j) (4.692449334079046+0.5332187362497176j) (6.258946231113196+0.7117887784555216j) (7.827464348218215+0.8910766538901086j) (9.39852085971498+1.071269447731982j) (10.972641033610696+1.252559516978349j) (12.550360035871273+1.4351457399961947j) (14.132224842047929+1.6192348831242607j) (15.718796279497598+1.8050431133978804j) (17.31065122614894+1.992797691738436j) (18.908384995041857+2.1827388876841733j) (20.51261393777801+2.3751221652958248j) (22.123978304639785+2.5702207007641995j) (23.743145404560316+2.768328306104832j) (25.370813114394124+2.969762851028585j) (27.007713794148+3.174870297752869j) (28.654618672934127+3.384029492696929j) (30.312342779357937+3.597657896720436j) (31.98175049956553+3.8162184845657503j) (33.66376185574799+4.040228108161768j) (35.35935960649746+4.270267702491248j) (37.06959727627427+4.506994823739535j) (38.79560822126563+4.751159156886757j) (40.538615827908465+5.003621826926791j) (42.29994490955914+5.265379612589933j) (44.08103430178874+5.537595519063361j) (45.883450533524964+5.821637651810268j) (47.70890222999067+6.11912899590136j) (49.55925451803111+6.432011611813767j) (51.43654204478797+6.762630001836317j) (53.34297810230849+7.1138401053670925j) (55.280955463090464+7.489152707885253j) (57.25303134967248+7.892923192310709j) (59.26188359333623+8.330603724177216j) (61.310215963820916+8.809079259035268j) (63.40057528723494+9.337114975850865j) (65.53501693156899+9.925948719339605j) (67.71451120915701+10.590064252985167j) (69.9379093611386+11.348170400460821j) (72.20016602673795+12.224365228401533j) (74.48932204144793+13.249331514706828j) (76.78147064610847+14.461072910162923j) (79.03260912369728+15.903904212190547j) (81.16624114741963+17.62263579854011j) (83.05717025320976+19.645317941108715j) (84.51945088176276+21.94263058792028j) (85.32915706926791+24.354003304663976j) (85.343732727627+26.518009433464346j) (84.71119654334964+27.956863350607478j)
(1.563480730722171+0.17750329535483872j) (3.1274628585303765+0.35518355644521954j) (4.692449334079039+0.5332187362497316j) (6.258946231113186+0.7117887784555168j) (7.827464348218211+0.8910766538901184j) (9.398520859714996+1.0712694477319675j) (10.972641033610694+1.2525595169783368j) (12.550360035871291+1.4351457399962078j) (14.132224842047936+1.619234883124234j) (15.718796279497495+1.8050431133978615j) (17.310651226148902+1.9927976917384j) (18.908384995041867+2.182738887684141j) (20.512613937778003+2.3751221652958905j) (22.123978304639788+2.5702207007641285j) (23.743145404560412+2.768328306104852j) (25.37081311439406+2.9697628510285896j) (27.007713794147985+3.1748702977528898j) (28.654618672934234+3.384029492696955j) (30.31234277935783+3.597657896720446j) (31.98175049956541+3.816218484565816j) (33.66376185574778+4.0402281081617755j) (35.359359606497435+4.270267702491288j) (37.06959727627426+4.506994823739451j) (38.795608221265674+4.7511591568867235j) (40.538615827908515+5.003621826926983j) (42.29994490955888+5.265379612589942j) (44.08103430178885+5.537595519063381j) (45.88345053352505+5.821637651810212j) (47.70890222999065+6.119128995901242j) (49.55925451803116+6.432011611813751j) (51.43654204478799+6.76263000183619j) (53.34297810230837+7.113840105367018j) (55.28095546309041+7.4891527078851405j) (57.25303134967259+7.8929231923106595j) (59.26188359333657+8.330603724177085j) (61.31021596382078+8.80907925903536j) (63.40057528723515+9.337114975850897j) (65.53501693156879+9.925948719339031j) (67.71451120915715+10.590064252985286j) (69.93790936113795+11.348170400460834j) (72.20016602673775+12.224365228401144j) (74.48932204144805+13.249331514706132j) (76.78147064610806+14.46107291016296j) (79.03260912369808+15.903904212190866j) (81.16624114741943+17.62263579854028j) (83.05717025320945+19.645317941108612j) (84.51945088176224+21.942630587920473j) (85.32915706926741+24.354003304664186j) (85.34373272762677+26.51800943346451j) (84.71119654334984+27.95686335060782j)
(1.5634807307221708+0.1775032953548408j) (3.127462858530387+0.3551835564452198j) (4.6924493340790425+0.5332187362497277j) (6.258946231113203+0.7117887784555197j) (7.827464348218228+0.8910766538900964j) (9.398520859715013+1.07126944773197j) (10.972641033610701+1.252559516978366j) (12.55036003587123+1.4351457399962269j) (14.132224842047952+1.6192348831242678j) (15.718796279497582+1.8050431133978517j) (17.310651226148924+1.9927976917384354j) (18.908384995041924+2.182738887684123j) (20.512613937777992+2.375122165295838j) (22.12397830463978+2.570220700764204j) (23.743145404560373+2.768328306104872j) (25.3708131143941+2.969762851028586j) (27.007713794147968+3.1748702977529337j) (28.654618672934216+3.384029492696966j) (30.31234277935789+3.5976578967203987j) (31.98175049956542+3.8162184845658427j) (33.66376185574792+4.040228108161782j) (35.35935960649746+4.270267702491357j) (37.069597276274344+4.506994823739483j) (38.79560822126562+4.751159156886757j) (40.538615827908295+5.003621826926973j) (42.299944909558945+5.265379612589921j) (44.08103430178876+5.537595519063403j) (45.883450533524766+5.821637651810299j) (47.70890222999076+6.1191289959012805j) (49.559254518030805+6.43201161181374j) (51.436542044787785+6.762630001836344j) (53.34297810230833+7.1138401053671j) (55.280955463090436+7.489152707885065j) (57.25303134967189+7.8929231923109615j) (59.26188359333647+8.330603724177209j) (61.31021596382073+8.809079259035128j) (63.400575287235206+9.33711497585102j) (65.53501693156888+9.925948719339289j) (67.71451120915701+10.590064252985723j) (69.9379093611386+11.3481704004607j) (72.20016602673748+12.22436522840099j) (74.48932204144755+13.24933151470673j) (76.78147064610812+14.46107291016254j) (79.03260912369721+15.903904212191463j) (81.16624114741992+17.622635798540383j) (83.05717025320929+19.645317941108626j) (84.51945088176248+21.942630587920466j) (85.32915706926796+24.35400330466402j) (85.34373272762664+26.51800943346413j) (84.71119654334956+27.956863350607442j)
(1.5634807307221705+0.17750329535483814j) (3.127462858530378+0.35518355644521854j) (4.692449334079047+0.5332187362497183j) (6.258946231113196+0.7117887784555283j) (7.8274643482182205+0.8910766538900939j) (9.39852085971499+1.0712694477319504j) (10.97264103361072+1.252559516978344j) (12.55036003587126+1.4351457399961935j) (14.13222484204797+1.619234883124253j) (15.718796279497557+1.8050431133978733j) (17.310651226148895+1.9927976917384287j) (18.908384995041907+2.1827388876841547j) (20.512613937777978+2.3751221652958794j) (22.123978304639813+2.570220700764212j) (23.743145404560366+2.768328306104879j) (25.37081311439399+2.9697628510286243j) (27.00771379414797+3.174870297752879j) (28.6546186729343+3.384029492696967j) (30.31234277935793+3.5976578967204706j) (31.98175049956552+3.816218484565856j) (33.66376185574795+4.040228108161796j) (35.35935960649749+4.27026770249132j) (37.0695972762741+4.506994823739433j) (38.79560822126567+4.751159156886689j) (40.538615827908494+5.003621826927105j) (42.29994490955913+5.265379612589946j) (44.081034301788726+5.537595519063331j) (45.88345053352497+5.821637651810245j) (47.70890222999076+6.119128995901146j) (49.55925451803117+6.432011611813887j) (51.43654204478796+6.762630001836269j) (53.34297810230873+7.113840105366901j) (55.28095546309054+7.489152707885239j) (57.2530313496723+7.892923192310705j) (59.261883593336115+8.330603724177038j) (61.3102159638208+8.80907925903491j) (63.400575287235284+9.337114975851039j) (65.53501693156963+9.925948719339242j) (67.71451120915778+10.590064252985377j) (69.93790936113872+11.348170400461402j) (72.20016602673769+12.224365228400847j) (74.4893220414477+13.249331514706373j) (76.7814706461078+14.4610729101623j) (79.03260912369697+15.903904212191147j) (81.16624114741971+17.622635798540443j) (83.05717025320908+19.64531794110869j) (84.51945088176254+21.942630587920537j) (85.32915706926777+24.35400330466372j) (85.34373272762662+26.518009433464417j) (84.71119654334954+27.95686335060767j)
(1.5634807307221659+0.17750329535483844j) (3.127462858530374+0.35518355644522454j) (4.6924493340790585+0.533218736249711j) (6.25894623111321+0.711788778455513j) (7.827464348218243+0.891076653890093j) (9.39852085971499+1.0712694477319675j) (10.972641033610701+1.252559516978327j) (12.55036003587127+1.4351457399961969j) (14.132224842047973+1.619234883124238j) (15.71879627949757+1.8050431133978317j) (17.310651226148906+1.992797691738436j) (18.908384995041875+2.1827388876841454j) (20.512613937777992+2.3751221652958336j) (22.123978304639746+2.5702207007642377j) (23.743145404560295+2.768328306104843j) (25.370813114394064+2.9697628510286105j) (27.00771379414809+3.1748702977528462j) (28.65461867293422+3.3840294926969743j) (30.312342779357927+3.5976578967204627j) (31.981750499565546+3.8162184845659004j) (33.66376185574785+4.040228108161812j) (35.359359606497385+4.2702677024913696j) (37.06959727627443+4.506994823739423j) (38.79560822126555+4.751159156886891j) (40.53861582790841+5.0036218269269686j) (42.29994490955919+5.2653796125898555j) (44.08103430178882+5.537595519063371j) (45.883450533525014+5.821637651810377j) (47.7089022299906+6.119128995901163j) (49.559254518031075+6.432011611813948j) (51.43654204478797+6.7626300018361745j) (53.34297810230841+7.113840105366943j) (55.28095546309013+7.489152707885136j) (57.25303134967242+7.892923192310629j) (59.261883593336464+8.330603724177047j) (61.310215963820944+8.809079259035316j) (63.40057528723518+9.337114975851064j) (65.5350169315695+9.925948719339448j) (67.71451120915694+10.590064252985007j) (69.93790936113884+11.348170400460928j) (72.20016602673792+12.224365228401798j) (74.48932204144755+13.249331514705817j) (76.78147064610825+14.461072910163148j) (79.03260912369682+15.903904212191321j) (81.16624114742015+17.622635798540244j) (83.05717025320918+19.645317941108893j) (84.51945088176265+21.94263058792056j) (85.32915706926805+24.35400330466375j) (85.34373272762727+26.518009433464385j) (84.71119654334926+27.956863350607772j)
