200 400 600 800 1000 1200 1400 1600 1800 2000 2200 2400 2600 2800 3000 3200 3400 3600 3800 4000 4200 4400 4600 4800 5000 5200 5400 5600 5800 6000 6200 6400 6600 6800 7000 7200 7400 7600 7800 8000 8200 8400 8600 8800 9000 9200 9400 9600 9800 10000
(1.5634807307217184+0.1775032953547805j) (3.1274628585294595+0.35518355644510274j) (4.6924493340775815+0.5332187362495316j) (6.258946231111157+0.7117887784552184j) (7.827464348215446+0.891076653889664j) (9.398520859711372+1.0712694477312654j) (10.972641033605969+1.2525595169773331j) (12.55036003586517+1.4351457399946754j) (14.132224842040058+1.6192348831220527j) (15.718796279487563+1.8050431133945508j) (17.310651226135782+1.992797691733653j) (18.908384995024914+2.182738887677006j) (20.512613937755688+2.3751221652852315j) (22.12397830461039+2.570220700748362j) (23.74314540452133+2.7683283060808583j) (25.370813114342106+2.9697628509921987j) (27.007713794078892+3.174870297697404j) (28.65461867284142+3.3840294926098764j) (30.312342779234033+3.597657896588105j) (31.981750499400036+3.816218484358852j) (33.66376185552505+4.040228107831092j) (35.359359606208116+4.270267701967643j) (37.06959727590372+4.506994822892454j) (38.795608221265546+4.7511591568867555j) (40.53861582790828+5.0036218269271115j) (42.29994490955926+5.265379612589857j) (44.0810343017888+5.537595519063173j) (45.88345053352496+5.821637651810301j) (47.70890222999062+6.1191289959010335j) (49.55925451803092+6.432011611813976j) (51.43654204478778+6.762630001836187j) (53.34297810230825+7.113840105366999j) (55.280955463089775+7.489152707884504j) (57.253031349671446+7.892923192309104j) (59.261883593335924+8.330603724171537j) (61.3102159638254+8.809079259018647j) (63.400575287272744+9.337114975809746j) (65.5350169317472+9.92594871927728j) (67.71451120979935+10.590064253132011j) (69.9379093611381+11.348170400460848j) (72.20016602673823+12.224365228401311j) (74.48932204144818+13.249331514706718j) (76.7814706461069+14.461072910160617j) (79.0326091236938+15.903904212192149j) (81.16624114743772+17.622635798528197j) (83.05717025314446+19.64531794112777j) (84.51945088181218+21.942630587948283j) (85.32915706926381+24.35400330465969j) (85.34373272762696+26.518009433464112j) (84.71119654334977+27.956863350607637j)
(1.5550500607492774+0.17654600071745924j) (3.1105949621150484+0.35326665280324604j) (4.667131073809789+0.5303375793173406j) (6.2251578394406115+0.7079363626700035j) (7.785179353027828+0.8862435647293532j) (9.347705983899246+1.065443796915375j) (10.913256067593794+1.245726859463526j) (12.482357681748299+1.4272889713613324j) (14.0555505276883+1.6103341155664541j) (15.633387940620738+1.7950755281734243j) (17.21643905401297+1.9817373654100732j) (18.805291146974746+2.1705565890090472j) (20.400552207331202+2.3617851189782257j) (22.00285374764216+2.5556923135819867j) (23.61285391678627+2.7525678500937283j) (25.23124095593347+2.952725097440025j) (26.85873705485325+3.156505094378799j) (28.496102672522756+3.364281275845659j) (30.14414139483678+3.576465127616909j) (31.803705411602422+3.793512998212345j) (33.47570170441323+4.015934360722593j) (35.161099045379295+4.244301901062176j) (36.86093591226523+4.479263919962041j) (38.57632942519272+4.721559683359781j) (40.3084853984194+4.972038552909898j) (42.058709568902756+5.231683993402387j) (43.82841999670023+5.501643912372734j) (45.619160506187+5.783269274489574j) (47.432614810975906+6.078163598693531j) (49.27062057164498+6.388246857639157j) (51.13518196093596+6.715838550193363j) (53.028478166456665+7.063766433943749j) (54.95286332655406+7.435509748038243j) (56.910850129487244+7.835388921748298j) (58.905063788037786+8.268817946657112j) (60.93814375981894+8.742640887143354j) (63.01255473926357+9.265580146104234j) (65.1302415623595+9.848829800544301j) (67.29201717190571+10.506828717680358j) (69.49649649007482+11.258235283959545j) (71.73826366046492+12.12707434741684j) (74.00476288476042+13.14388155975891j) (76.27112211784565+14.346305338478746j) (78.49181977169133+15.777771777276481j) (80.58817268464354+17.480939349756625j) (82.43255861450729+19.478996195208374j) (83.83874375273018+21.732938062036673j) (84.59139719334998+24.067562860779105j) (84.57418762177677+26.112351435866024j) (83.96986002249228+27.408441758489158j)
(1.5465636376898049+0.17558237234152144j) (3.0936154401602396+0.3513370395411819j) (4.641645076257662+0.527437252242543j) (6.191145238403003+0.7040581883632345j) (7.742613193297047+0.8813779564983736j) (9.29655238020614+1.0595786484917034j) (10.853474074175729+1.2388474600525587j) (12.413899132845868+1.4193779005855098j) (13.978359847260075+1.601371116470065j) (15.547401919218524+1.7850373560324697j) (17.12158659036922+1.970597609611103j) (18.701492951432023+2.158285464701846j) (20.287720463768924+2.348349224562778j) (21.88089173003149+2.54105434933727j) (23.481655555912806+2.7366862923729407j) (25.090690351166863+2.9355538218249175j) (26.708707925094764+3.1379929399730613j) (28.33645773961944+3.3443715414678876j) (29.974731691782857+3.5550949889978445j) (31.624369506762978+3.7706128333723843j) (33.28626483172137+3.991426968486926j) (34.96137212898093+4.218101595143793j) (36.650714472300784+4.45127547821309j) (38.355392349212906+4.691677128710966j) (40.076593560108016+4.940143739312269j) (41.81560427199584+5.197644966976935j) (43.573821216583205+5.465313015399536j) (45.352764893565485+5.744480958540612j) (47.154093409280485+6.036731914270956j) (48.979616178979285+6.343962592916524j) (50.8313060322007+6.668466003462691j) (52.71130709061607+7.013039826675326j) (54.621933807716005+7.381129322202205j) (56.56565321227135+7.7770168192902895j) (58.54503673207305+8.206074037628934j) (60.56265836752792+8.675098772533687j) (62.62089966604978+9.192763532630433j) (64.72159422462282+9.770209105448311j) (66.8653975082213+10.42181654079955j) (69.05068909896154+11.166175883653459j) (71.27168562536689+12.027213176986878j) (73.51524167268059+13.035278767833994j) (75.75553632979909+14.227605815129724j) (77.94557052759279+15.646632946040713j) (80.00458622151938+17.332704126479268j) (81.80284107091781+19.303911945464996j) (83.15457003140347+21.511420087130002j) (83.85441079437157+23.766045010362888j) (83.81307737835195+25.690774506282434j) (83.24552764584638+26.848870987118097j)
(1.538022515076743+0.17461252995669824j) (3.0765264031125055+0.34939495731254555j) (4.615994515568748+0.5245181190068318j) (6.156912676087498+0.7001547464907664j) (7.6997712048271145+0.8764804520637742j) (9.245066489558488+1.0536747635337678j) (10.793302620575762+1.2319222257640436j) (12.34499310778249+1.411413589926686j) (13.900662700009482+1.5923471143122847j) (15.460849328749243+1.774930004499752j) (17.026106201100998+1.9593800257831764j) (18.597004069878462+2.1459273272616097j) (20.174133712602064+2.334816525291773j) (21.758108655557134+2.5263091045692208j) (23.349568184329456+2.720686208583147j) (24.94918068828536+2.918251908431505j) (26.557647393416595+3.11933706113332j) (28.175706545776205+3.324303897118533j) (29.80413811634046+3.5335515135913993j) (31.443769107227094+3.747522498648346j) (33.095479548258034+3.966710974153361j) (34.76020928080675+4.191672428493047j) (36.43896563084924+4.4230358204440074j) (38.132832071920966+4.66151858208513j) (39.842977965801914+4.9079453453053565j) (41.57066943504179+5.163271481475618j) (43.31728135162299+5.428612903051671j) (45.084310294732546+5.705284065200914j) (46.87338809542277+5.994846775042398j) (48.68629517625816+6.299173335114176j) (50.5249721914864+6.6205288111464125j) (52.391527278477774+6.96167894925855j) (54.2882342068765+7.326032637395699j) (56.217513284483445+7.717831002207946j) (58.18188106899253+8.142399438229422j) (60.18384506704439+8.606484135890645j) (62.22570281562504+9.118700625029524j) (64.30917618949243+9.690126898316171j) (66.43476341368545+10.335073253081822j) (68.60061027014947+11.072043426831657j) (70.80056980391483+11.92483894234325j) (73.02091569303239+12.923586465059396j) (75.23489775810202+14.105043703747338j) (77.39408714373683+15.510563532431362j) (79.41577571777162+17.178016706670753j) (81.16843080402366+19.120184997373517j) (82.46754012530553+21.278316247244586j) (83.1190316189033+23.450041379963043j) (83.06119527536984+25.25453423969231j) (82.5383849610125+26.28003845658044j)
(1.5294277810821564+0.17363659723005417j) (3.0593300308277245+0.3474406546919418j) (4.590182670331907+0.521580555589686j) (6.1224645404544775+0.6962265442243237j) (7.6566588992564135+0.8715516949174795j) (9.193254965354186+1.0477329283917822j) (10.732749523943822+1.2249520938447085j) (12.275648613532812+1.40339713717871j) (13.822469313090469+1.583263378836032j) (15.37374165142379+1.7647549285869657j) (16.930010663157667+1.9480862696454793j) (18.491838618815205+2.1334840509114317j) (20.059807460206958+2.3211891343302544j) (21.634521476739813+2.5114589548020443j) (23.216610263415138+2.7045702634015942j) (24.80673200725896+2.9008223417349597j) (26.405577155783423+3.1005407971836645j) (28.013872528780116+3.304082077088776j) (29.632385943219752+3.511838876622772j) (31.261931429979484+3.724246662941187j) (32.9033751299986+3.9417916009076266j) (34.557641965174945+4.165020248354107j) (36.22572318401418+4.394551498428226j) (37.90868488040567+4.631091392761152j) (39.60767757044108+4.875451625289481j) (41.32394687756453+5.1285728211773325j) (43.05884530507334+5.39155403431086j) (44.81384494120343+5.665690396436186j) (46.59055070260234+5.952521521585484j) (48.390713304897744+6.2538941907802545j) (50.21624043325621+6.572044109699312j) (52.06920336728998+6.909703273729311j) (53.95183424746107+7.270241853847043j) (55.866505664925235+7.65785672321622j) (57.81567830569513+8.077822953095183j) (59.801792256693076+8.536829849249372j) (61.827060334906804+9.04342893072437j) (63.89309243492549+9.608625931990439j) (66.00023012697426+10.246647484430557j) (68.14638749453475+10.975893040950092j) (70.32505888374655+11.820013835394242j) (72.52194747339992+12.808874395653287j) (74.70939661042347+13.978696834122175j) (76.83760168448296+15.369650893079461j) (78.8220420436642+17.01698032975735j) (80.52974749208481+18.927961383122256j) (81.77826375643158+21.03391021879356j) (82.38606214910509+23.12020947657418j) (82.31924203743739+24.804943389479664j) (81.8484781271051+25.703823548415503j)
(1.5207805594520483+0.17265470187213505j) (3.0420285744403457+0.3454743883871035j) (4.5642129263814715+0.5186249502862876j) (6.087805363072219+0.6922741053744331j) (7.61328196872496+0.8665923497035154j) (9.141124679057034+1.0417539553230721j) (10.671822857874647+1.2179380324999287j) (12.205874952858917+1.3953296765011314j) (13.743790249907688+1.574121221974887j) (15.28609074745081+1.7545136318088068j) (16.833313174692226+1.9367180522954721j) (18.386011180796373+2.1209575727759304j) (19.944757725703663+2.307469236011441j) (21.510147707589713+2.4965063558452356j) (23.082800867072297+2.688341211883656j) (24.663365014154145+2.8832682077958927j) (26.2525196306488+3.081607601524539j) (27.850979908420577+3.2837099437161914j) (29.459501292108953+3.489961397045173j) (31.078884603801004+3.700790156549048j) (32.70998183579691+3.9166742533277388j) (34.35370270510861+4.1381511060928275j) (36.01102206771563+4.365829294027576j) (37.68298828858257+4.6004031699344266j) (39.370732649401695+4.842671128047163j) (41.075479840532324+5.093558604828245j) (42.79855951095409+5.354147249569329j) (44.54141871393357+5.625712191008136j) (46.30563484267667+5.9097699971309225j) (48.09292822608024+6.208140848080479j) (49.905172826251714+6.523029712684458j) (51.74440223816967+6.8571330657242j) (53.61280608325779+7.213780068779616j) (55.51270830806438+7.597120350122699j) (57.446512810779424+8.012374725158962j) (59.416591445044524+8.46617040519863j) (61.42507175349983+8.96698793787293j) (63.47345161865617+9.525751403946792j) (65.56191688808336+10.156590912907042j) (67.68815260910795+10.877783696008068j) (69.8453002650021+11.7128049521276j) (72.01850464238272+12.691218657852755j) (74.17922861334101+13.848651445744418j) (76.2763521853488+15.223993897488143j) (78.2236923834652+16.84971493250964j) (79.88721610387931+18.727413481954628j) (81.08734728265631+20.77852952049411j) (81.65626890363646+22.777269745788022j) (81.58782240698939+24.34336342401273j) (81.17571641000146+25.122085474701755j)
(1.5120820104658168+0.1716669757458501j) (3.024624358281676+0.3434964234565158j) (4.538088779673173+0.5156517040332351j) (6.05293982294826+0.6882979708237572j) (7.569646290658549+0.8616031027575448j) (9.088682725930019+1.035738683136567j) (10.610530959085207+1.2108810416410525j) (12.135681731925644+1.3872123792655948j) (13.66463641866054+1.564921998795467j) (15.197908864501006+1.7442076672160884j) (16.736027365431745+1.9252771413266734j) (18.279536815689813+2.108349894074829j) (19.829001053088437+2.293659087094318j) (21.385005436587683+2.4814538451016035j) (22.948159695525842+2.672001900800632j) (24.519101095717343+2.865592695609562j) (26.09849797427795+3.0625410429631654j) (27.687053702502052+3.2631914886599156j) (29.285511144317127+3.4679235387144174j) (30.894657686463717+3.677157972187878j) (32.51533092504771+3.891364518180945j) (34.14842510035862+4.111071257685755j) (35.79489837594717+4.336876219268416j) (37.45578105553664+4.569461782250716j) (39.13218481674733+4.809612695579486j) (40.8253130043073+5.058238783584004j) (42.5364719514464+5.316403767443237j) (44.26708315986836+5.585362119870207j) (46.018695921517654+5.866606541198861j) (47.79299953449833+6.1619295682520985j) (49.591833525131264+6.473504099543417j) (51.41719302504419+6.803989369980086j) (53.27122430393086+7.156671297937089j) (55.156201805246674+7.5356493425782665j) (57.0744718103388+7.946086206713924j) (59.028337239835366+8.394541881254815j) (61.01983996382165+8.889419071992743j) (63.05036604684229+9.441550904168592j) (65.11994689158564+10.064958202991967j) (67.22604172887809+10.777778132767308j) (69.36144596152472+11.603284211239249j) (71.51075978470381+12.570701616873809j) (73.64459479333+13.715002098098529j) (75.71058230574577+15.073702853294751j) (77.62103963017462+16.67635712235382j) (79.24126567318608+18.518740039751396j) (80.39539100451971+20.51254504926088j) (80.93037791262987+22.422002233204903j) (80.8674422576203+23.871195706363554j) (80.51987579750408+24.53665094130794j)
(1.5033333319210789+0.17067355497829276j) (3.0071197818488717+0.34150703353256706j) (4.51181383923549+0.512661230742703j) (6.01787275046109+0.6842986989710422j) (7.5257579326769495+0.8565846626597066j) (9.035936430915266+1.0296879778523402j) (10.548882434260461+1.203782153649015j) (12.06507886810458+1.3790464549208514j) (13.585019081096668+1.5556671084587286j) (15.10920864739638+1.7338386384475326j) (16.638167307289176+1.9137653619632204j) (18.172431072193575+2.0956630813304686j) (19.712554523631862+2.2797610180323353j) (21.259113339938164+2.4663040428812244j) (22.81270708940001+2.6555552699805953j) (24.373962334235156+2.847799098445376j) (25.94353609634344+3.043344807022897j) (27.522119743120033+3.242530834141226j) (29.110443359659023+3.44572991151154j) (30.709280682148677+3.6533552659361668j) (32.31945467553525+3.8658681651156974j) (33.94184384556946+4.083787164066315j) (35.577389379123346+4.307699516229707j) (37.22710320388687+4.538275357096482j) (38.89207704341882+4.776285461623699j) (40.5734925064329+5.022623638547132j) (42.27263217400982+5.278335181068935j) (43.99089150807322+5.544653280908379j) (45.729791153770485+5.8230459823976695j) (47.49098877130362+6.115277175995684j) (49.2762887810692+6.423486403021206j) (51.08764712226176+6.750293994105473j) (52.92716593888494+7.098940454906694j) (54.7970693838542+7.473472225999016j) (56.69964538124883+7.8789901268265305j) (58.63712733388895+8.321981899513938j) (60.61147119767519+8.81076564646161j) (62.62395163856045+9.356074354990959j) (64.67444723513074+9.971806933306413j) (66.7601951735093+10.675942777068439j) (68.87365249635529+11.49152825430816j) (70.9988902898822+12.447411789165013j) (73.1057012522711+13.577851548042599j) (75.14054097663475+14.918899387296767j) (77.0144017729089+16.497060089465144j) (78.59232805428341+18.30216608891615j) (79.70298645793022+20.236370398470058j) (80.20907037519491+22.05524283485685j) (80.15850632031392+23.38987226386076j) (79.88060390350321+23.949301771479384j)
(1.4945357601446136+0.1696745800754047j) (2.989517321825665+0.3395065010507813j) (4.485391830198546+0.5096539576453776j) (5.9826091313938035+0.6802768661868493j) (7.481623157628794+0.8515377608011211j) (8.98289335466475+1.0236027333768765j) (10.486886167072372+1.196642434155523j) (11.994076597972324+1.3708331518759573j) (13.504949861478329+1.5463579951998234j) (15.020003148031666+1.7234082008000933j) (16.539747525222726+1.9021845982118242j) (18.06470999961244+2.082899267591616j) (19.59543576854857+2.2657774342547228j) (21.13249069510109+2.451059653722868j) (22.676464044075445+2.6390043536481826j) (24.227971522673464+2.8298908151802413j) (25.78765867579745+3.0240226972335122j) (27.356204693200215+3.2217322341493246j) (28.934326693590723+3.4233852724132787j) (30.52278455908359+3.629387358103462j) (32.12238640147411+3.8401911472481576j) (33.73399474859709+4.0563054913317735j) (35.35853354252304+4.278306656746036j) (36.99699603818375+4.5068522796463775j) (38.650453675376305+4.742698849862498j) (40.32006595927502+4.986723777904823j) (42.00709130823533+5.239953453890436j) (43.712898685448025+5.503599193034495j) (45.43897957703394+5.779103630399543j) (47.18695943626478+6.068201048822001j) (48.95860695133085+6.372996395253049j) (50.7558381909011+6.6960694906613885j) (52.58071045948814+7.040613328269582j) (54.43539690446428+7.410618562697877j) (56.32212644201941+7.811120455165861j) (58.24306248811037+8.248529581659868j) (60.200074999352594+8.731072806966123j) (62.194327886267565+9.269373943054196j) (64.22554886336985+9.877197513954519j) (66.29075738887875+10.572347640410035j) (68.38208079188655+11.377618327748745j) (70.48307819628506+12.321443706408722j) (72.56275893829118+13.43731059478326j) (74.56648204415526+14.759716283202637j) (76.40410127769874+16.311993459133376j) (77.94083665764238+18.077942768954376j) (79.01071369311865+19.95046095129164j) (79.49297851804343+21.677879116257166j) (79.46131661857798+22.900846139332547j) (79.25742628000381+23.3617627118778j)
(1.4856905710299362+0.16867019603973976j) (2.9718195341567144+0.3374951174848164j) (4.458826596902729+0.5066303256419025j) (5.947154111073765+0.6762330672801855j) (7.437248428756669+0.84646315196399j) (8.929561299724595+1.0174838721941577j) (10.424551325375665+1.1894629828419716j) (11.922685485507923+1.3625737584013862j) (13.424440755768153+1.5369961493274342j) (14.930305835533543+1.7129180623182088j) (16.44078300834834+1.8905367940323885j) (17.956390159901+2.070060653672828j) (19.477662981943425+2.251710817459957j) (21.005157394609405+2.43572346772343j) (22.539452224337797+2.622352281766208j) (24.08115218011034+2.8118713516214857j) (25.63089117702727+3.0045786364022478j) (27.189336063314517+3.2008000756131034j) (28.757190814600985+3.400894526507755j) (30.335201267419546+3.6052597340220496j) (31.924160471751335+3.8143396016449365j) (33.524914748982006+4.028633110807593j) (35.13837054483881+4.248705341924858j) (36.76550216334276+4.475201191671163j) (38.40736045169755+4.7088625718194645j) (40.065082467521385+4.950550133671278j) (41.73990208243244+5.201270914944292j) (43.433161332043426+5.462213789638883j) (45.14632206546873+5.734795267108846j) (46.880976999163835+6.02071910537086j) (48.6388585078424+6.3220544725524155j) (50.421842163802815+6.641339137573954j) (52.23193977970273+6.981716556631854j) (54.071272856028436+7.347118920300858j) (55.94201074125572+7.742512362320599j) (57.84624651162338+8.174225499428312j) (59.785764195373126+8.65038747004314j) (61.76161781236481+9.1815040435119j) (63.773386507460025+9.781193093677057j) (65.81787686383997+10.467066207081395j) (67.88689605493381+11.261640146441188j) (69.96351003012872+12.192897753762383j) (72.01598341265607+13.293497893206496j) (73.98866390999243+14.596297277280447j) (75.79046446179673+16.121343085961627j) (77.28722516399687+17.846347047065997j) (78.31913854130683+19.655312737846646j) (78.78268168636767+21.29084567720481j) (78.77607172465098+22.40558134875158j) (78.64975419219499+22.775689681611137j)
